GrLivArea,GarageArea,LotArea,YearBuilt,YrSold
1575,529,8012,1992,2007
1250,528,4251,2006,2007
1734,440,9786,1962,2006
858,0,8125,1971,2006
900,280,9819,1967,2010
1396,384,8730,1915,2007
1919,685,15611,2006,2006
1716,0,5687,1912,2008
1716,281,11409,1949,2009
2263,539,16659,1977,2006
1644,418,9600,1953,2009
1003,588,7937,1984,2006
1558,282,13710,1950,2007
1950,576,7399,1997,2007
1743,539,11700,1968,2007
1152,300,14000,1950,2009
1336,375,15750,1953,2006
2452,683,16226,1998,2007
1541,843,13704,2001,2006
894,552,9800,1972,2006
3493,870,18386,1880,2008
2000,888,10386,2004,2007
2243,746,13474,1990,2007
1406,0,7920,1920,2008
861,539,12342,1940,2009
1944,708,12378,2003,2006
1501,420,7685,1993,2006
972,240,8000,1948,2009
1118,410,7800,1939,2006
2036,513,215245,1965,2009
1641,546,9600,1925,2006
1432,432,7795,2004,2009
2353,484,13005,1980,2009
1959,1025,9000,2006,2007
2646,656,9900,1993,2009
1472,588,14115,1980,2009
2596,840,16259,2006,2006
2468,872,12099,2004,2007
2730,576,10380,1986,2007
1163,220,5820,1955,2006
2978,564,11275,1967,2010
803,360,5000,1941,2007
1719,473,10846,1993,2008
1383,292,11600,1960,2006
2134,441,11888,1916,2009
1192,189,6402,1920,2009
1728,352,10624,1964,2007
1056,308,8176,1958,2007
1629,880,10655,2003,2009
1358,484,8198,2004,2008
1638,472,9042,1998,2008
1786,529,164660,1965,2008
1922,676,14157,2005,2007
1536,532,9135,2002,2008
1621,440,14145,1984,2006
1215,297,12400,1958,2009
1908,431,14191,2002,2010
841,294,8400,1950,2009
1040,400,8544,1949,2006
1684,564,8849,2005,2008
1112,336,2592,1976,2010
1577,312,6435,1939,2006
958,301,12772,1960,2007
1478,498,17600,1960,2009
1626,474,2448,2003,2008
2728,706,20431,2005,2006
1869,617,7820,2007,2007
1453,445,5271,1986,2006
1111,200,9084,1941,2008
720,484,8520,1928,2010
1595,240,8400,1940,2006
1200,521,11249,1995,2007
1167,400,9248,1992,2009
1142,528,4224,1976,2007
1352,288,6930,1958,2006
1924,592,12011,1998,2006
912,470,7540,1978,2007
1505,240,9144,1940,2008
1922,672,7301,2003,2009
987,264,1680,1972,2009
1574,566,18800,1976,2006
1344,468,10690,1920,2009
1394,514,9500,1963,2009
1431,296,9150,1962,2008
1268,244,7800,1954,2010
1287,576,9830,1959,2010
1664,460,8121,2000,2006
1588,680,17120,1959,2008
752,264,7175,1984,2010
1319,270,10634,1953,2009
1928,434,8200,2003,2007
904,0,10020,1922,2009
914,576,8846,1996,2006
2466,610,11143,2004,2007
1856,834,11394,2010,2010
1800,463,8123,2000,2009
1691,308,5000,1924,2010
1301,572,7200,2006,2006
1797,639,9245,2006,2007
784,360,9000,1928,2009
1953,501,53107,1992,2007
1269,430,3182,2004,2010
1184,0,8410,1910,2006
1125,352,7200,1976,2009
1479,577,9382,1999,2008
2332,846,12474,2007,2008
1367,384,8405,1900,2008
1961,560,12209,2001,2009
882,294,8339,1959,2007
788,0,7446,1941,2006
1034,240,10134,1940,2007
1144,596,9571,1956,2010
894,600,7200,1972,2009
1812,264,7590,1962,2007
1077,338,8967,1920,2007
1550,438,8125,2006,2009
1288,500,14963,1996,2008
1310,400,8767,2005,2006
672,240,10200,1940,2008
2263,420,12090,1998,2006
1572,373,10364,1995,2007
1620,490,9991,1976,2009
1639,240,10480,1936,2008
1680,308,15576,1915,2008
2172,947,14154,2006,2007
2078,836,10800,2007,2008
1276,350,9571,1958,2009
1056,572,34650,1955,2006
1478,484,4403,2009,2010
1028,360,8960,1927,2010
2097,678,11228,1993,2008
1340,396,8899,2007,2007
1400,440,7844,1978,2006
2624,864,22420,1918,2007
1134,240,8160,1940,2007
1056,304,8450,1968,2010
1344,784,7060,1997,2008
1602,529,16635,1977,2009
988,520,21750,1954,2008
2630,696,9200,1998,2008
1196,297,9000,1956,2008
1389,240,3378,1946,2009
1644,569,12800,1989,2009
907,352,8593,1957,2008
1208,628,6762,2007,2007
1412,576,11457,1988,2009
987,264,1680,1971,2008
1198,0,5586,1920,2008
1365,440,1920,1971,2007
1604,470,10839,1997,2008
630,0,1890,1972,2008
1661,550,10667,1996,2009
1118,440,4400,1920,2006
904,180,6000,1926,2009
694,352,4280,1913,2007
1196,528,12354,1920,2009
2402,672,15431,2008,2009
1440,0,12108,1955,2008
1573,360,6240,1930,2008
1258,648,3922,2006,2007
1908,493,8750,1994,2008
1689,480,9855,1956,2009
1888,578,16492,1966,2010
1886,431,11214,1998,2006
1376,198,8600,1937,2006
1183,308,6000,1948,2007
813,270,5684,1930,2006
1533,576,70761,1975,2006
1756,422,9303,1996,2007
1590,676,9000,2008,2009
1728,560,9297,1976,2006
1242,528,9600,1973,2007
1344,513,4571,1916,2008
1663,529,53227,1954,2008
1666,228,5100,1925,2008
1203,352,7015,1950,2009
1935,552,8004,2009,2009
1135,576,7200,1936,2009
864,360,8281,1965,2009
1660,240,11988,1934,2008
1040,0,8430,1978,2009
1414,398,3072,2004,2006
1277,526,10628,1970,2007
1644,312,9480,1942,2007
1634,866,11428,2006,2007
1710,506,9291,1993,2008
1502,528,6820,1985,2010
1969,534,11952,1977,2007
1072,525,3675,2005,2008
1976,908,14977,2006,2007
1652,499,5330,2000,2007
970,624,8480,1963,2007
1493,508,13125,1997,2008
2643,694,13693,2006,2007
1718,826,10637,2007,2009
1131,672,5925,1937,2007
1850,772,16033,2004,2006
1792,874,11846,2003,2006
1826,164,2500,1915,2009
1216,402,4500,1998,2006
999,264,7758,1962,2007
1113,264,9600,1950,2009
1073,515,10289,1965,2007
1484,487,12243,1971,2007
2414,520,10800,1900,2006
630,286,1526,1970,2009
1304,336,2665,1976,2008
1578,240,9490,1941,2006
1456,429,15578,2006,2006
1269,308,7931,1960,2008
886,273,5784,1938,2009
720,0,7879,1920,2009
3228,546,12692,1992,2007
1820,240,9120,1925,2008
899,288,7800,1967,2009
912,297,7535,1958,2007
1218,264,1890,1973,2007
1768,603,9803,2005,2008
1214,461,9170,1965,2007
1801,484,15602,1959,2010
1322,440,2308,1974,2009
1960,400,7596,1952,2009
1911,471,9554,1993,2006
1218,676,7862,2009,2009
1378,360,9600,1928,2008
1041,270,9600,1959,2009
1363,288,14559,1951,2009
1368,474,6792,2005,2006
864,624,9100,1958,2006
1080,484,9187,1983,2007
789,200,10594,1926,2007
2020,900,12220,2009,2009
2119,583,10448,1972,2009
2344,889,10208,1996,2009
1796,546,9531,1998,2007
2080,282,10918,1926,2009
1294,0,10800,1900,2008
1244,336,11988,1957,2007
1664,420,5000,1947,2006
4676,884,40094,2007,2007
2398,834,11787,1996,2007
1266,453,7500,2005,2006
928,252,13300,1956,2007
2713,858,14948,2008,2008
605,0,9098,1920,2007
2515,484,32668,1957,2007
1509,600,10200,1988,2008
1362,502,6155,1920,2008
827,392,7200,1955,2010
334,0,5000,1946,2007
1414,403,9056,2004,2006
1347,0,7000,1910,2008
1724,527,8924,1998,2008
864,576,12735,1972,2008
1159,336,11553,1968,2006
1601,670,11423,2001,2010
1838,765,14601,2006,2009
2285,648,11000,2000,2007
1680,583,10140,1998,2009
767,367,4058,1998,2007
1496,426,17104,2006,2006
2183,786,13837,1988,2006
1635,440,8737,1923,2007
768,624,7244,1970,2007
825,720,8235,1955,2008
2094,615,9375,2003,2009
1069,440,4043,1977,2008
928,288,6000,1957,2008
1717,908,11146,2006,2009
1126,520,8777,1949,2009
2046,871,10625,2003,2008
1048,280,6380,1922,2006
1092,299,14850,1957,2006
1336,570,11040,1920,2006
1446,406,21872,1996,2008
1557,420,3196,2003,2006
1392,528,11341,1957,2010
1389,418,10010,1974,2006
996,0,13907,1940,2008
1674,396,21780,1918,2008
2295,590,13346,1992,2006
1647,216,6858,1915,2010
2504,656,11198,2005,2008
1535,532,10171,2004,2010
2132,612,12327,1983,2009
943,600,7032,1979,2006
1728,576,13101,1965,2008
864,288,7332,1959,2006
1692,650,13159,2009,2009
1430,400,9967,2000,2007
1109,288,10500,1971,2007
1216,336,8480,1947,2008
1477,216,6292,1928,2009
1320,564,11777,1966,2006
1392,540,3604,2007,2008
1795,352,12150,1954,2008
1429,572,14585,1960,2007
2042,1390,12704,2008,2009
816,0,11841,1990,2007
2775,880,13500,1893,2008
1573,240,6120,1935,2009
2028,880,11443,2005,2006
838,275,10267,1918,2008
860,528,8740,1982,2009
1473,452,25095,1968,2009
935,308,9100,1930,2008
1582,520,8320,2004,2008
2296,842,13478,2008,2009
816,816,6600,1982,2008
848,420,4435,2003,2009
924,280,7990,1975,2008
1826,758,11302,2005,2006
1368,216,3600,1910,2006
1402,648,3922,2006,2007
1647,621,12984,1977,2006
1556,452,1950,1980,2008
1904,736,10927,2005,2006
1375,544,9000,1937,2007
1915,506,10041,1992,2006
1200,480,3182,2004,2010
1494,530,12803,2002,2008
1986,486,13600,1965,2009
1040,576,12464,1996,2009
2008,230,7800,1948,2006
3194,380,12168,1934,2007
1029,261,7943,1961,2007
2153,736,11050,2000,2009
1032,564,10395,1978,2007
1872,531,11885,2001,2009
1120,0,8402,2007,2007
630,0,1491,1972,2010
1054,480,8800,1963,2010
1509,393,7861,2002,2006
832,528,7227,1954,2008
1828,774,11694,2007,2007
2262,749,12244,2003,2008
864,0,8248,1914,2008
2614,624,10800,1974,2008
980,484,7064,1977,2009
1512,440,2117,2000,2007
1790,484,10400,1972,2006
1116,440,10000,1962,2010
1422,286,12342,1960,2007
1520,364,9600,1955,2010
2080,504,11606,1969,2007
1350,520,9020,1964,2008
1750,240,9000,1880,2006
1554,627,4590,2006,2007
1411,544,11900,1977,2009
1056,260,9250,1954,2007
1056,576,6979,1980,2010
3395,0,10896,1914,2007
800,0,6120,1936,2009
1387,256,6000,1954,2009
796,0,8777,1910,2008
1567,648,3982,2006,2006
1518,588,12677,2003,2008
1929,650,7050,2001,2007
2704,538,13860,1972,2009
1620,462,10793,1969,2007
1766,478,9187,2009,2009
981,576,10530,1971,2007
1048,420,7200,1950,2008
1094,495,10452,1953,2008
1839,442,7700,1966,2010
630,0,1936,1970,2007
1665,562,8125,2007,2008
1510,296,9084,1940,2009
1716,512,8750,1996,2009
1469,216,10320,1906,2008
2113,839,10437,1995,2008
1092,264,1680,1971,2010
1053,312,10007,1959,2008
1502,270,7200,1931,2008
1458,330,17503,1948,2010
1486,480,9937,1964,2009
1935,550,12384,1976,2007
2448,711,46589,1994,2009
1392,576,13560,1968,2009
1181,588,10012,1972,2008
2097,1134,20896,2005,2006
1936,504,11194,2000,2006
2380,596,18450,1965,2007
1679,575,8125,1994,2008
1437,576,14175,1956,2006
1180,252,11600,1922,2006
1476,540,8633,2005,2009
1369,300,6629,1925,2009
1208,546,11250,1977,2006
1839,416,14442,1957,2007
1136,384,9200,1965,2008
1441,440,2289,1978,2009
1774,779,9600,1900,2006
792,240,9022,1924,2009
2046,834,11844,2008,2009
988,572,9945,1961,2007
923,264,8012,1980,2010
1520,281,4500,1932,2009
1291,431,2887,1996,2008
1668,702,11248,2002,2007
1839,486,16770,1998,2010
2090,577,5062,1984,2007
1761,578,10207,2007,2007
1102,480,5105,2004,2007
1419,567,8089,2007,2007
1362,460,7577,2005,2007
848,420,4426,2004,2008
4316,832,21535,1994,2007
2519,628,26178,1989,2006
1073,326,5400,1921,2006
1539,576,6120,1936,2009
1137,551,13811,1987,2006
616,205,6000,1921,2006
1148,308,6420,1952,2006
894,336,8450,1965,2010
1391,530,4282,2004,2008
1800,765,14331,2002,2006
1164,528,9600,1969,2006
2576,666,12438,2006,2006
1812,672,7630,1900,2010
1484,606,8400,2004,2010
1092,0,5600,1930,2010
1824,739,115149,1971,2007
1324,550,6240,2006,2009
1456,400,9018,2007,2007
904,408,7162,1966,2008
729,0,4130,1935,2008
1178,384,8712,1900,2010
1228,472,4671,1988,2008
960,576,9873,1970,2006
1479,475,13517,1976,2010
1350,478,10140,1974,2009
2554,704,10800,1890,2007
1178,439,10000,1973,2008
2418,983,10542,1993,2008
971,300,9920,1969,2006
1742,564,6563,1985,2006
848,420,4426,2004,2010
864,463,8120,1970,2009
1470,548,8172,1954,2008
1698,768,13286,2007,2009
864,660,6960,1970,2009
1680,540,21695,1988,2009
1232,632,7314,2007,2009
1776,888,11475,1958,2009
1208,539,6240,1925,2009
1616,608,5389,1995,2010
1146,438,9590,2003,2007
2031,541,11404,1998,2008
1144,264,10000,1961,2009
948,300,8978,1968,2007
1768,320,10800,1914,2006
1040,400,8544,1950,2006
1801,800,10463,2005,2006
1200,0,10800,1987,2009
1728,572,9313,2004,2009
1432,360,9600,1910,2007
912,288,6768,1961,2008
1349,539,8450,2000,2007
1464,480,12886,1963,2009
1337,462,5395,1993,2008
2715,831,8963,1976,2008
2256,554,8795,2000,2009
2640,864,11700,1880,2009
1720,527,10593,1996,2010
1529,240,8405,1945,2009
1140,0,8800,1910,2010
1320,400,7750,2003,2007
1494,576,9236,1997,2006
2098,878,10240,2005,2006
1026,440,7930,1969,2009
1471,440,3230,1999,2009
1768,578,10769,2007,2009
1386,440,11616,1978,2010
1501,440,2280,1999,2008
2531,752,12257,1995,2007
864,300,9100,1959,2009
1301,440,6911,1924,2009
1547,614,8640,2009,2010
2365,856,9430,1999,2009
1494,481,9549,1995,2006
1506,592,14587,2008,2008
1714,496,10421,1988,2010
1750,423,12508,1940,2008
1836,484,9100,2004,2006
3279,841,53504,2003,2010
858,576,7252,1982,2009
1220,396,8877,1951,2006
1117,672,7819,1976,2010
912,275,10150,1958,2007
1973,895,14226,2006,2007
1204,412,4500,1998,2009
1614,865,11210,2005,2006
894,440,13350,1974,2006
2020,630,8400,1977,2007
1004,504,10530,1977,2006
1253,402,7875,1995,2007
1603,484,7153,1992,2006
1430,605,16285,2001,2009
1110,602,9101,1978,2009
1484,0,6300,1914,2008
1342,457,9790,1967,2009
1652,416,10800,1915,2010
2084,618,10142,2004,2010
901,281,6000,1954,2008
2087,444,12205,1966,2007
1145,397,3182,2005,2009
1062,539,11333,1976,2007
2013,455,9920,1996,2007
1496,474,9158,2007,2007
1895,409,10832,1994,2008
1564,476,8400,1980,2010
1285,528,8197,1977,2007
773,240,7677,1953,2008
3140,820,13518,2008,2009
1768,240,7200,1937,2007
1688,603,12798,1997,2008
1196,440,4800,1916,2007
1456,410,8199,2005,2008
2822,1020,13891,2008,2009
1128,286,9000,1954,2006
1428,554,12274,2008,2008
980,384,9750,1967,2006
1576,528,21384,1923,2009
1086,484,13400,1966,2006
2138,360,8100,1898,2009
1309,484,10140,1974,2006
848,420,4438,2004,2008
1044,504,8712,1952,2010
1442,301,9750,1958,2007
1250,280,8248,1918,2006
1661,598,12137,1998,2010
1008,275,11425,1954,2006
1689,857,13265,2002,2008
1052,440,8816,1971,2010
1358,484,6371,2009,2010
1640,595,7226,2003,2008
936,576,6000,1953,2009
1733,433,12394,2003,2007
1489,240,9900,1940,2009
1489,776,11216,2006,2006
2084,1220,14803,2007,2008
784,0,6130,1924,2008
1434,527,8529,2001,2009
2126,538,28698,1967,2009
1223,480,2544,2005,2006
1392,458,11900,1957,2008
1200,480,3180,2005,2006
1829,613,9548,2003,2010
1516,472,10004,1964,2009
1144,456,7875,1961,2008
1067,436,9600,1950,2010
1559,812,8100,1948,2007
987,264,1680,1973,2008
1099,352,9525,1995,2008
1200,240,11767,1946,2008
1482,400,12155,1925,2008
1539,686,10440,1904,2008
1165,490,9020,1966,2008
1800,0,8000,1961,2007
1416,720,12665,1915,2008
1701,611,16647,1975,2007
1775,425,9317,1993,2009
864,338,15523,1972,2009
2358,360,45600,1908,2008
1855,512,9600,1976,2007
848,420,4435,2003,2007
1456,400,3196,2003,2006
1646,240,7128,1941,2007
1445,645,12095,1964,2009
1779,454,17920,1955,2006
1040,260,6897,1962,2010
1026,576,10970,1978,2008
1481,343,8125,1994,2009
1370,479,10400,1976,2009
2654,619,11029,1968,2006
1426,216,7642,1918,2007
1039,504,11625,1965,2010
1097,480,9672,1984,2010
1148,672,7931,1959,2009
1372,529,8640,2007,2008
1002,902,8750,1970,2009
1646,870,10656,2006,2007
1120,544,6970,1961,2007
2320,672,14762,1948,2006
1949,574,9938,1993,2010
894,308,6600,1962,2009
1682,523,8750,1998,2010
910,414,8892,1953,2008
1268,288,12144,1949,2009
1131,200,5720,1941,2009
2610,550,9000,2007,2007
1040,648,25286,1963,2007
2224,738,8834,2004,2009
1155,576,11782,1961,2010
864,336,7000,1978,2009
1090,450,7024,2005,2007
1717,400,13758,1990,2007
1593,389,9636,1992,2009
2230,440,6204,1912,2006
892,288,7150,1967,2009
1709,506,5119,1999,2008
1712,588,8393,1959,2006
1393,300,16466,1955,2008
2217,621,15865,1970,2007
1505,505,12160,1953,2009
924,576,8064,1949,2007
1683,440,11184,1978,2009
1068,264,8414,1963,2006
1383,354,13284,1954,2008
1535,400,7018,1979,2009
1796,483,7056,1963,2008
951,327,8765,1936,2006
2240,528,7018,1979,2009
2364,820,12919,2009,2010
1236,288,6993,1961,2006
858,684,7340,1971,2007
1306,756,8712,1957,2009
1509,393,7875,2003,2006
1670,690,14859,2006,2006
902,288,6173,1967,2007
1063,280,9920,1954,2010
1636,865,13501,2006,2007
2057,180,11500,1936,2006
902,484,8885,1983,2006
1484,390,12589,2005,2009
2274,480,11600,1960,2010
1268,252,9286,1977,2009
1015,450,6120,1925,2006
2002,871,6270,1949,2007
1224,528,3000,2009,2009
1092,286,2001,1970,2007
480,308,9000,1949,2006
1229,284,17140,1956,2009
2127,833,13125,1991,2007
1414,601,11029,1958,2008
1721,471,8462,1994,2007
2200,0,8777,1900,2008
1316,397,10237,2005,2006
1617,533,8012,1993,2008
1686,612,10240,1980,2006
1126,540,15611,1977,2008
2374,656,11999,2003,2007
1978,486,9900,1968,2008
1788,522,11838,2001,2009
2236,642,13006,1997,2006
1466,610,8925,2007,2009
925,429,9100,1965,2009
1905,788,11670,2006,2007
1500,570,8487,2004,2009
2069,505,27650,1960,2008
747,528,5825,1926,2006
1200,555,10083,2003,2009
1971,689,9675,2005,2009
1962,868,8760,2006,2006
2403,349,24090,1940,2010
1728,574,12640,1976,2006
2060,390,8755,1999,2009
1440,0,7711,1977,2007
1632,576,25000,1967,2007
1344,525,14375,1958,2009
1869,456,8820,1890,2009
1144,796,8163,1959,2006
1629,808,14536,2002,2007
1776,474,14006,2002,2006
1381,676,9360,1972,2010
864,720,7200,1950,2007
965,300,7800,1965,2006
768,396,7200,1972,2009
1968,530,11075,1969,2008
980,0,9400,1975,2006
1958,492,7136,1946,2007
1229,462,1300,1980,2009
1057,576,7420,1962,2007
1337,531,8450,2003,2007
1416,484,2572,1999,2010
858,0,7207,1958,2010
2872,619,12227,1977,2008
1548,440,2308,1976,2007
1800,702,11923,2007,2009
1894,510,11316,2002,2010
1484,393,10237,2005,2007
1308,256,9600,1940,2009
1098,260,7390,1955,2008
968,0,5925,1910,2009
1095,264,10382,1958,2006
1192,0,10800,1949,2006
1626,474,2268,2003,2009
918,264,7892,1979,2010
1428,480,11639,2007,2008
2019,532,11414,1910,2009
1382,490,2651,2000,2006
869,0,5900,1923,2006
1241,569,4274,2006,2007
894,400,9450,1954,2007
1121,480,8816,1963,2009
999,588,12122,1961,2008
2612,676,12203,1998,2009
1266,388,3182,2007,2008
2290,779,11250,2002,2008
1734,539,10125,1977,2009
1164,240,10880,1950,2008
1635,255,5310,1910,2006
1940,606,10159,2009,2010
2030,551,12046,1976,2007
1576,614,8125,2006,2006
2392,870,9452,1997,2006
1742,424,17671,1882,2009
1851,440,9760,1964,2007
1500,564,8846,2005,2006
1718,786,12456,2006,2009
1230,305,4712,1946,2006
1050,368,10659,1961,2006
1442,615,11717,1970,2009
1077,210,9786,1922,2006
1208,632,6762,2006,2010
944,528,10206,1952,2009
691,216,5400,1920,2007
1574,824,11957,2006,2008
1680,528,11500,1976,2007
1504,457,3182,2005,2009
985,328,8385,1977,2008
